,id,nickname,creationTime,productColor,尺码,score,referenceName,content,content_type
0,17561924981.0,j***c,2022-05-31 14:34:07,秋蓝黑茶短【升级3C款】,均码,5.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,买的第二个了 第一个买的黑色的 这次买的是蓝色的 这个头盔质量非常不错 卖家也很好 发货速度也很快,pos
1,15413176621.0,x***r,2021-03-12 20:02:52,灰色黑茶中,均码,5.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,电动车头盔男四季防晒防雨电瓶车头盔女士夏季哈雷头盔轻便式半覆式安全帽四季通用半盔防晒夏天 灰色黑茶中 均码不错的一款头盔，算得上一款物美廉价，做工不错，款式较为新颖的头盔，戴着较为舒服，灰色是我喜欢的色系。,pos
2,18614292176.0,随***2,2022-12-27 15:49:53,秋蓝黑茶短【升级3C款】,均码,5.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,东西很不错，灰色高端大气上档次。比买电动车送的那个好太多了，还会再来,pos
3,17559053564.0,小***行,2022-05-30 19:35:32,哑黑黑茶短【升级3C款】,均码,5.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,头盔质量还挺好，比较厚实，内衬也比较舒适。磨砂的哑黑。还挺好看的。,pos
4,17552356335.0,一***秋,2022-05-29 09:48:41,灰色黑茶短【升级3C款】,均码,5.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,这个价位的头盔可以说绝对良心商家，头盔外观漂亮大气，做工精细，还很贴心送了一些装饰，而且质量有认证，值得推荐！,pos
5,15688567856.0,G***Y,2021-05-18 17:44:44,哑黑透明中,均码,5.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,这款安全帽子还可以的，在此之前在其他平台也买了，但是质量没有这个好，退掉了，又在京东上买的，这个价位的话相比同产品还是不错，现在不买头盔不行，查得紧。,pos
6,17603682690.0,j***q,2022-06-08 20:00:55,哑黑黑茶短【升级3C款】,均码,5.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,刚刚收到货 第一时间打开  没有失望  性价比高得很  质量没的说  值得购买,pos
7,17582206112.0,富***灬,2022-06-04 16:58:42,哑黑黑茶短【升级3C款】,均码,5.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,头盔看着很结实，也很厚实，颜色也很喜欢，重量也合适,pos
8,18881336083.0,半***媚,2023-03-10 20:12:44,秋蓝透明短【升级3C款】,均码,5.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,他俩质量蛮不错的，一下在两家店铺拍了，一对比，另外一个果断退过了，太差了虽然质量也便宜一些，确实质量差的有点多，镜片要去看透明，不喜欢，和客服沟通了。可以换货，不错的购物体验,pos
9,17553451374.0,云***8,2022-05-29 14:02:07,秋蓝黑茶短,均码,5.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,非常好用，颜色漂亮，戴起来舒服，尤其是后面有反光板，灯光照射下可以被发现，起到反光警示作用，前挡风遮雨板非常方便拆卸，物美价廉，经济实惠，活动买的价格美丽，支持京东商城，支持国货精品店，谢谢!,pos
10,17655061532.0,u***y,2022-06-18 17:38:18,米白黑茶短【升级3C款】,均码,1.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,扣是铁的，非常难取开，建议大家不要买,neg
11,17249829742.0,菠***吉,2022-03-14 12:01:14,黄色黑茶短,均码,1.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,谁买谁后悔！这么差的质量也敢拿出来卖，京东想钱想疯了，让这些商家进来卖假冒伪劣产品，也不知道这些好评是哪来的。客服是一问三不知，半天不回复，态度极差。要退货还要自己出运费，说7天无理由退货是假的，他们会给你一百个理由。我今天就不退了，我要让大家看看你们这家店是怎么欺骗消费者的。,neg
12,18325892238.0,一***动,2022-11-03 20:33:18,哑黑透明短,均码,1.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,连个泡沫内衬都没有，还搞个假的类似碳纤维的胶壳充当泡沫，这种头盔安全吗？,neg
13,10590479142.0,j***6,2017-07-05 21:24:10,雅黑,54厘米-60厘米之间头围适用,1.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,为什么必须有一颗星星呢？我是真的，一颗也不想给呀，谁能告诉我把另一颗星星取消呢糟糕透顶的一次购物以后再也不在网上给别人买东西了为什么稍微胖一点戴不进去呢夏天的头盔为什么是一个棉的里垫怎么一个带子穿过去呀？还要卡不紧呢安全头盔还是一个易碎品，它是玻璃的吗,neg
14,14203333235.0,叉***又,2020-05-27 18:09:43,白花(中镜),均码,1.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,我买的和我朋友50块钱的差不多。而且这个有黑点 毛边有一点大,neg
15,17559495242.0,j***⑽,2022-05-30 21:16:37,哑黑黑茶短【升级3C款】,均码,1.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,公平公正的评价，帽子放在车筐里，没有受到其他的撞击，仅仅是放在车筐里，一碰就掉色。,neg
16,17253141286.0,任***指,2022-03-15 08:15:42,哑黑黑茶短,均码,1.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,到处溢流，毛边什么的出厂都不处理吗？面罩听了客服的拿刀挂了，面罩扣不到底，买的时候多看看吧，谁买谁后悔,neg
17,17686482219.0,j***u,2022-06-23 19:51:08,米白黑茶短,均码,1.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,质量非常好，送的小风车也很不错还能隐形，包装非常精美,neg
18,17403060967.0,齐***亮,2022-04-23 17:42:12,本田灰茶短,均码,1.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,质量真的很差，几乎起不到防护作用。一圈白色头套，再就是一层塑料壳。和安全帽结构相似，但根本没法和安全帽比。剪了标，想退也退不了，算了，扔掉。那么多好评都是刷的吧,neg
19,18898043578.0,j***c,2023-03-14 16:34:46,哑黑透明短【升级3C款】,均码,1.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,非常差，过去个把月了，货收不到，钱退不了，第一次催单是在下单后10天左右，再慢能慢成这样？10天第一次催单，已经给了足够的时间和耐心了，然后客服说问物流，结果过了几天又是我主动找的客服问，然后说要我申请退款，商品到了要我拒收就行，结果到现在货也没有，钱也没退，今天找客服，还要我再申请退款，我买东西就是为了退的是吧，目前已经个把月了《个把月了》，我今天不打开京东我都不知道这个玩意还没退钱，我要是不看是不是就给你白送？,neg
20,17986175369.0,j***X,2022-08-30 10:21:24,本田灰茶中,均码,3.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,防尘袋跟实物不一样，虚假宣传,neg
21,17394904840.0,u***c,2022-04-21 16:47:44,米白黑茶短,均码,3.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,这次发的头盔有瑕疵啊，通风口有一个是坏的，另外一个是特别松！,neg
22,17983839744.0,u***g,2022-08-29 19:44:01,米白黑茶短【升级3C款】,均码,3.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,一般吧。做工不精细。,neg
23,17430929685.0,j***c,2022-04-30 17:15:58,哑黑黑茶短【升级3C款】,均码,3.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,头盔看着还可以，小配件有问题，到货后一直不给解决。,neg
24,17524298866.0,j***f,2022-05-22 17:30:33,哑黑黑茶短【升级3C款】,均码,3.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,两个星期扣子不知道为啥就掉了。,neg
25,17684953450.0,j***1,2022-06-23 14:51:02,哑黑黑茶短【升级3C款】,均码,3.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,内里可调节这一点是好的，戴上头盔后面罩上面的三角凹陷区域仍在主要视线范围内，了一半黑一半白看的眼睛挺不舒服，但一分钱一分货，这个价位要啥自行车,neg
26,19040235823.0,u***z,2023-04-20 22:20:09,本田灰透短,均码,3.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,此用户未填写评价内容,neg
27,11837432164.0,M***g,2018-08-24 10:44:37,哑黑星(中镜),均码,3.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,做工一般。产品很多刮花的痕迹。,neg
28,1469329091.0,w***a,2016-04-19 17:10:35,X331纯哑黑,54厘米-62厘米之间头围适用,3.0,Andes HELMET电动车头盔男四季女士夏季头盔轻便式安全帽四季通用夏天半盔 哑黑黑茶短【升级3C款】 均码,"1、内帽檐很脏。
2、帽绳（带）质量差又滑，卡扣  扣不稳。
3、上传其他帽绳（带）相片，购买者自行比较。",neg
